날짜,등락률
20201116,1.97
20201117,-0.15
20201118,0.26
20201119,0.07
20201120,0.24
20201123,1.92
20201124,0.58
20201125,-0.62
20201126,0.94
20201127,0.29
20201130,-1.6
20201201,1.66
20201202,1.58
20201203,0.76
20201204,1.31
20201207,0.51
20201208,-1.62
20201209,2.02
20201210,-0.33
20201211,0.86
20201214,-0.28
20201215,-0.19
20201216,0.54
20201217,-0.05
20201218,0.06
20201221,0.23
20201222,-1.62
20201223,0.96
20201224,1.7
20201228,0.06
20201229,0.42
20201230,1.88
20210104,2.47
20210105,1.57
20210106,-0.75
20210107,2.14
20210108,3.97
20210111,-0.12
20210112,-0.71
20210113,0.71
20210114,0.05
20210115,-2.03
20210118,-2.33
20210119,2.61
20210120,0.71
20210121,1.49
20210122,-0.64
20210125,2.18
20210126,-2.14
20210127,-0.57
20210128,-1.71
20210129,-3.03
20210201,2.7
20210202,1.32
20210203,1.06
20210204,-1.35
20210205,1.07
20210208,-0.94
20210209,-0.21
20210210,0.52
20210215,1.5
20210216,0.52
20210217,-0.93
20210218,-1.5
20210219,0.68
20210222,-0.9
20210223,-0.31
20210224,-2.45
20210225,3.5
20210226,-2.8
20210302,1.03
20210303,1.29
20210304,-1.28
20210305,-0.57
20210308,-1.0
20210309,-0.67
20210310,-0.6
20210311,1.88
20210312,1.35
20210315,-0.28
20210316,0.7
20210317,-0.64
20210318,0.61
20210319,-0.86
20210322,-0.13
20210323,-1.01
20210324,-0.28
20210325,0.4
20210326,1.09
20210329,-0.16
20210330,1.12
20210331,-0.28
20210401,0.85
20210402,0.82
20210405,0.26
20210406,0.2
20210407,0.33
20210408,0.19
20210409,-0.36
20210412,0.12
20210413,1.07
20210414,0.42
20210415,0.38
20210416,0.13
20210419,0.01
20210420,0.68
20210421,-1.52
20210422,0.18
20210423,0.27
20210426,0.99
20210427,-0.07
20210428,-1.06
20210429,-0.23
20210430,-0.83
20210503,-0.66
20210504,0.64
20210506,1.0
20210507,0.58
20210510,1.63
20210511,-1.23
20210512,-1.49
20210513,-1.25
20210514,1.0
20210517,-0.6
20210518,1.23
20210520,-0.34
20210521,-0.19
20210524,-0.38
20210525,0.86
20210526,-0.09
20210527,-0.09
20210528,0.73
20210531,0.48
20210601,0.56
20210602,0.07
20210603,0.72
20210604,-0.23
20210607,0.37
20210608,-0.13
20210609,-0.97
20210610,0.26
20210611,0.77
20210614,0.09
20210615,0.2
20210616,0.62
20210617,-0.42
20210618,0.09
20210621,-0.83
20210622,0.71
20210623,0.38
20210624,0.3
20210625,0.51
20210628,-0.03
20210629,-0.46
20210630,0.3
20210701,-0.44
20210702,-0.01
20210705,0.35
20210706,0.36
20210707,-0.6
20210708,-0.99
20210709,-1.07
20210712,0.89
20210713,0.77
20210714,-0.2
20210715,0.66
20210716,-0.28
20210719,-1.0
20210720,-0.35
20210721,-0.52
20210722,1.07
20210723,0.13
20210726,-0.91
20210727,0.24
20210728,0.13
20210729,0.18
20210730,-1.24
20210802,0.65
20210803,0.44
20210804,1.34
20210805,-0.13
20210806,-0.18
20210809,-0.3
20210810,-0.53
20210811,-0.7
20210812,-0.38
20210813,-1.16
20210817,-0.89
20210818,0.5
20210819,-1.93
20210820,-1.2
20210823,0.97
20210824,1.56
20210825,0.27
20210826,-0.58
20210827,0.17
20210830,0.33
20210831,1.75
20210901,0.24
20210902,-0.97
20210903,0.79
20210906,0.07
20210907,-0.5
20210908,-0.77
20210909,-1.53
20210910,0.36
20210913,0.07
20210914,0.67
20210915,0.15
20210916,-0.74
20210917,0.33
20210923,-0.41
20210924,-0.07
20210927,0.27
20210928,-1.14
20210929,-1.22
20210930,0.28
20211001,-1.62
20211005,-1.89
20211006,-1.82
20211007,1.76
20211008,-0.11
20211012,-1.35
20211013,0.96
20211014,1.5
20211015,0.88
20211018,-0.28
20211019,0.74
20211020,-0.53
20211021,-0.19
20211022,-0.04
20211025,0.48
20211026,0.94
20211027,-0.77
20211028,-0.53
20211029,-1.29
20211101,0.28
20211102,1.16
20211103,-1.25
20211104,0.25
20211105,-0.47
20211108,-0.31
20211109,0.08
20211110,-1.09
20211111,-0.18
20211112,1.5
20211115,1.03
20211116,-0.08
20211117,-1.16
20211118,-0.51
20211119,0.8
20211122,1.42
20211123,-0.53
20211124,-0.1
20211125,-0.47
20211126,-1.47
20211129,-0.92
20211130,-2.42
20211201,2.14
20211202,1.57
20211203,0.78
20211206,0.17
20211207,0.62
20211208,0.34
20211209,0.93
20211210,-0.64
20211213,-0.28
20211214,-0.46
20211215,0.05
20211216,0.57
20211217,0.38
20211220,-1.81
20211221,0.41
20211222,0.32
20211223,0.46
20211224,0.48
20211227,-0.43
20211228,0.69
20211229,-0.89
20211230,-0.52
20220103,0.37
20220104,0.02
20220105,-1.18
20220106,-1.13
20220107,1.18
20220110,-0.95
20220111,0.02
20220112,1.54
20220113,-0.35
20220114,-1.36
20220117,-1.09
20220118,-0.89
20220119,-0.77
20220120,0.72
20220121,-0.99
20220124,-1.49
20220125,-2.56
20220126,-0.41
20220127,-3.5
20220128,1.87
20220203,1.67
20220204,1.57
20220207,-0.19
20220208,0.05
20220209,0.81
20220210,0.11
20220211,-0.87
20220214,-1.57
20220215,-1.03
20220216,1.99
20220217,0.53
20220218,0.02
20220221,-0.03
20220222,-1.35
20220223,0.47
20220224,-2.6
20220225,1.06
20220228,0.84
20220302,0.16
20220303,1.61
20220304,-1.22
20220307,-2.29
20220308,-1.09
20220310,2.21
20220311,-0.71
20220314,-0.59
20220315,-0.91
20220316,1.44
20220317,1.33
20220318,0.46
20220321,-0.77
20220322,0.89
20220323,0.92
20220324,-0.2
20220325,0.01
20220328,-0.02
20220329,0.42
20220330,0.21
20220331,0.4
20220401,-0.65
20220404,0.66
20220405,0.05
20220406,-0.88
20220407,-1.43
20220408,0.17
20220411,-0.27
20220412,-0.98
20220413,1.86
20220414,0.01
20220415,-0.76
20220418,-0.11
20220419,0.95
20220420,-0.01
20220421,0.35
20220422,-0.86
20220425,-1.76
20220426,0.42
20220427,-1.1
20220428,1.08
20220429,1.03
20220502,-0.28
20220503,-0.26
20220504,-0.11
20220506,-1.23
20220509,-1.27
20220510,-0.55
20220511,-0.17
20220512,-1.63
20220513,2.12
20220516,-0.29
20220517,0.92
20220518,0.21
20220519,-1.28
20220520,1.81
20220523,0.31
20220524,-1.57
20220525,0.44
20220526,-0.18
20220527,0.98
20220530,1.2
20220531,0.61
20220602,-1.0
20220603,0.44
20220607,-1.66
20220608,-0.01
20220609,-0.03
20220610,-1.13
20220613,-3.52
20220614,-0.46
20220615,-1.83
20220616,0.16
20220617,-0.43
20220620,-2.04
20220621,0.75
20220622,-2.74
20220623,-1.22
20220624,2.26
20220627,1.49
20220628,0.84
20220629,-1.82
20220630,-1.91
20220701,-1.17
20220704,-0.22
20220705,1.8
20220706,-2.13
20220707,1.84
20220708,0.7
20220711,-0.44
20220712,-0.96
20220713,0.47
20220714,-0.27
20220715,0.37
20220718,1.9
20220719,-0.18
20220720,0.67
20220721,0.93
20220722,-0.66
20220725,0.44
20220726,0.39
20220727,0.11
20220728,0.82
20220729,0.67
20220801,0.03
20220802,-0.52
20220803,0.89
20220804,0.47
20220805,0.72
20220808,0.09
20220809,0.42
20220810,-0.9
20220811,1.73
20220812,0.16
20220816,0.22
20220817,-0.67
20220818,-0.33
20220819,-0.61
20220822,-1.21
20220823,-1.1
20220824,0.5
20220825,1.22
20220826,0.15
20220829,-2.18
20220830,0.99
20220831,0.86
20220901,-2.28
20220902,-0.26
20220905,-0.24
20220906,0.26
20220907,-1.39
20220908,0.33
20220913,2.74
20220914,-1.56
20220915,-0.4
20220916,-0.79
20220919,-1.14
20220920,0.52
20220921,-0.87
20220922,-0.63
20220923,-1.81
20220926,-3.02
20220927,0.13
20220928,-2.45
20220929,0.08
20220930,-0.71
20221004,2.5
20221005,0.26
20221006,1.02
20221007,-0.22
20221011,-1.83
20221012,0.47
20221013,-1.8
20221014,2.3
20221017,0.32
20221018,1.36
20221019,-0.56
20221020,-0.86
20221021,-0.22
20221024,1.04
20221025,-0.05
20221026,0.65
20221027,1.74
20221028,-0.89
20221031,1.11
20221101,1.81
20221102,0.07
20221103,-0.33
20221104,0.83
20221107,0.99
20221108,1.15
20221109,1.06
20221110,-0.91
20221111,3.37
20221114,-0.34
20221115,0.23
20221116,-0.12
20221117,-1.39
20221118,0.06
20221121,-1.02
20221122,-0.59
20221123,0.53
20221124,0.96
20221125,-0.14
20221128,-1.21
20221129,1.04
20221130,1.61
20221201,0.3
20221202,-1.84
20221205,-0.62
20221206,-1.08
20221207,-0.43
20221208,-0.49
20221209,0.76
20221212,-0.67
20221213,-0.03
20221214,1.13
20221215,-1.6
20221216,-0.04
20221219,-0.33
20221220,-0.8
20221221,-0.19
20221222,1.19
20221223,-1.83
20221226,0.15
20221227,0.68
20221228,-2.24
20221229,-1.93
20230102,-0.48
20230103,-0.31
20230104,1.68
20230105,0.38
20230106,1.12
20230109,2.63
20230110,0.05
20230111,0.35
20230112,0.24
20230113,0.89
20230116,0.58
20230117,-0.85
20230118,-0.47
20230119,0.51
20230120,0.63
20230125,1.39
20230126,1.65
20230127,0.62
20230130,-1.35
20230131,-1.04
20230201,1.02
20230202,0.78
20230203,0.47
20230206,-1.7
20230207,0.55
20230208,1.3
20230209,-0.09
20230210,-0.48
20230213,-0.69
20230214,0.53
20230215,-1.53
20230216,1.96
20230217,-0.98
20230220,0.16
20230221,0.16
20230222,-1.68
20230223,0.89
20230224,-0.63
20230227,-0.87
20230228,0.42
20230302,0.62
20230303,0.17
20230306,1.26
20230307,0.03
20230308,-1.28
20230309,-0.53
20230310,-1.01
20230313,0.67
20230314,-2.56
20230315,1.31
20230316,-0.08
20230317,0.75
20230320,-0.69
20230321,0.38
20230322,1.2
20230323,0.31
20230324,-0.39
20230327,-0.24
20230328,1.07
20230329,0.37
20230330,0.38
20230331,0.97
20230403,-0.18
20230404,0.33
20230405,0.59
20230406,-1.44
20230407,1.27
20230410,0.87
20230411,1.42
20230412,0.11
20230413,0.43
20230414,0.38
20230417,0.17
20230418,-0.19
20230419,0.16
20230420,-0.46
20230421,-0.73
20230424,-0.82
20230425,-1.37
20230426,-0.17
20230427,0.44
20230428,0.23
20230502,0.91
20230503,-0.91
20230504,-0.02
20230508,0.49
20230509,-0.13
20230510,-0.54
20230511,-0.22
20230512,-0.63
20230515,0.16
20230516,0.04
20230517,0.58
20230518,0.83
20230519,0.89
20230522,0.76
20230523,0.41
20230524,0.0
20230525,-0.5
20230526,0.16
20230530,1.04
20230531,-0.32
20230601,-0.31
20230602,1.25
20230605,0.54
20230607,0.01
20230608,-0.18
20230609,1.16
20230612,-0.45
20230613,0.33
20230614,-0.72
20230615,-0.4
20230616,0.66
20230619,-0.62
20230620,-0.18
20230621,-0.86
20230622,0.43
20230623,-0.91
20230626,0.47
20230627,-0.03
20230628,-0.67
20230629,-0.55
20230630,0.56
20230703,1.49
20230704,-0.35
20230705,-0.55
20230706,-0.88
20230707,-1.16
20230710,-0.24
20230711,1.66
20230712,0.48
20230713,0.64
20230714,1.43
20230717,-0.35
20230718,-0.43
20230719,0.02
20230720,-0.31
20230721,0.37
20230724,0.72
20230725,0.3
20230726,-1.67
20230727,0.44
20230728,0.17
20230731,0.93
20230801,1.31
20230802,-1.9
20230803,-0.42
20230804,-0.1
20230807,-0.85
20230808,-0.26
20230809,1.21
20230810,-0.14
20230811,-0.4
20230814,-0.79
20230816,-1.76
20230817,-0.23
20230818,-0.61
20230821,0.17
20230822,0.28
20230823,-0.41
20230824,1.28
20230825,-0.73
20230828,0.96
20230829,0.34
20230830,0.35
20230831,-0.19
20230901,0.29
20230904,0.81
20230905,-0.09
20230906,-0.73
20230907,-0.59
20230908,-0.02
20230911,0.36
20230912,-0.79
20230913,-0.07
20230914,1.51
20230915,1.1
20230918,-1.02
20230919,-0.6
20230920,0.02
20230921,-1.75
20230922,-0.27
