Date,Headline1,Headline2,Headline3,Headline4,Headline5,Headline6,Headline7,Headline8,Headline9,Headline10,Headline11,Headline12,Headline13,Headline14,Headline15,Headline16,Headline17,Headline18,Headline19,Headline20
20201116,"'명상앱' 만든 혜민스님, 승려된 12년간 '안거 수행' 전무",수도권·강원 거리두기 곧 격상…1.5단계 땐 뭐가 달라지나,"군, 29일까지 수도권·강원 '1.5단계'로 격상…휴가 현행유지(종합)","[이슈 컷] ""월세 얼마? 사망 자녀는? 나라에 신상 털린 느낌""","'푸른 눈의 수행자' 현각스님 ""혜민스님, 사업자이자 배우""","혜민스님 활동 중단 선언…""실망한 모든 분께 참회""(종합)",대한항공·아시아나 통합 국적항공사 출범…산은 8천억 투입(종합2보),지하차도 침수 방치에 물놀이 상황극 벌여 해결한 태국 주민,"신천지 탈퇴자 ""신도들 사이서 이만희는 하나님과 같아""","방송인 사유리, 정자 기증받아 비혼모 됐다",마일리지 어찌되나…대한항공·아시아나 통합에 소비자도 불안,"화이자 이어 모더나 ""코로나백신 효과 94.5%…게임체인저 될 것""(종합)","정부, 수도권·강원 '1.5단계' 격상 방침…내일 발표할 듯","산은, 한진칼에 8천억 투입…대한항공의 아시아나 인수 추진(종합)","[속보] 정은경 ""코로나19 감염력 1 넘어…2~4주후 300~400명 발생 가능""","박능후, 내일 긴급 브리핑…수도권-강원 1.5단계 격상 발표할듯","신규확진 223명 사흘째 200명대…휴일임에도 급증, 지역 193명(종합)",트럼프 부도맞나…퇴임 후 기다리는 건 가족사업 재정난,"오바마 ""우린 규칙과 법 위에 있지 않아""…'불복' 트럼프 비난","혜민스님 활동 중단 선언…""다시 공부하고 수행 정진"""
20201117,수도권 거리두기 1.5단계로 격상…목요일 0시부터 적용(종합),"""'화학무기 피살' 김정남 아들 김한솔, 미 CIA가 데려갔다""",아내 살해하고 기자회견에서 오열…뻔뻔한 살인범의 두 얼굴,"냉동보관 필요없는 모더나 백신, 예방효과 95%…""게임체인저""(종합2보)","일가족, 어린이보호구역 참변…목격 할아버지 '손자 눈 가렸다'","신규확진 230명 나흘째 200명대, 지역 202명…수도권 1.5단계로(종합)","방송인 사유리, 정자 기증받아 비혼모 됐다","오늘도 200명대 예상…정부, 오전 수도권-강원 1.5단계 확정할듯","신천지 탈퇴자 ""신도들 사이서 이만희는 하나님과 같아""","[이래도 되나요] ""엄카로 후원금 쐈어요"" BJ에 빠져 호구된 10대들",코로나19 백신 연내접종 예고…내년엔 여러 종류 등장할 듯,5층 건물이 걸어갔다…상하이 빌딩에 198개 인공 다리 설치,모더나·화이자 백신 희소식에 잘사는 나라만 웃는다,화웨이 결국 美제재 못 버텨…중저가 아너 스마트폰 매각(종합),"'명상앱' 만든 혜민스님, 승려된 12년간 '안거 수행' 전무","미 간호사가 폭로한 코로나 참상 ""최소한의 치료도 못 받고…""",서울 오늘 오후 6시까지 83명 추가 확진…확산 일로,"'박수현 명예훼손' 강용석측 ""여자 문제 있었던 건 사실""",광주 어린이보호구역 교통사고 2살 아기 숨져…언니·엄마 중상(종합),"화이자 이어 모더나 ""코로나백신 효과 94.5%…게임체인저 될 것""(종합)"
20201118,"신규확진 313명, 81일만에 300명대…'3차 유행' 현실화 우려(종합)","""'화학무기 피살' 김정남 아들 김한솔, 미 CIA가 데려갔다""(종합)","K-바이오, 전 세계 코로나19 치료제·백신 생산기지로 떠올랐다","정부 ""재유행의 기로…거리두기 2단계 격상없이 확산세 차단""(종합)",내일부터 서울-경기-광주 거리두기 1.5단계…무엇이 달라지나,"인니 30대, 마당에 날아든 45억살 운석 팔아 '돈방석'",[팩트체크] 코로나 백신 맞으면 몸에 무선인식칩 삽입된다고?,연일 200명대 확진…내일부터 서울-경기-광주 거리두기 1.5단계,"아이 낳은 성전환 남성, 엄마인가 아빠인가 논란","""동생 울 때마다 아빠가 목 졸랐다"" 두 자녀 살해사건 증언",세계에서 한마리 남은 '하얀 기린' 포착,신라 고분 위에 SUV 주차한 20대 신원 확인…경찰 고발(종합),공공임대 10만호 내놓는다는 전세대책…전세난 잡을 수 있나,"문대통령, 삼성바이오·셀트리온에 ""통큰 투자 감사""","아프리카 사는 뱀 '볼파이톤' 제주서 구조…""애완용 유기 추정""","법무부 ""19일 오후 2시 윤석열 조사"" 통보 시도…대검 반발(종합)",피임주사 대신 독감백신 맞아 임신…미 110억원 배상 판결,퇴임후 각종 수사 직면한 트럼프…바이든은 어떤 선택할까,"미 국방부 ""트럼프 퇴임前 아프간·이라크 미군감축""…공화 반발(종합)","[이래도 되나요] ""기름 넣었다 폐차했어요"" 가짜 경유에 봉변당한 차주들"
20201119,"""이게 마지막 물웅덩이""…브라질 악어들 떼죽음 위기","""면세점 쇼핑하러 비행기 타요""…무착륙 국제 관광비행 뜬다(종합)","부산 해운대·수영·동래, 경기 김포 등 조정대상지역 지정(종합)","이유가 뭘까…WSJ ""백신 계약 서두르지 않는 한국""",서울 오후 6시까지 124명 추가확진…누적 확진자 대구 제칠 듯,모친 30년지기 사주받고 친모 때려 숨지게 한 세 자매 기소(종합),"[이슈 컷] ""요즘 65세가 노인인가요?"" 세대갈등 도화선 된 지하철",전세난이 밀어 올린 집값…전국 아파트값 8년 반 만에 최고 상승,"이재명 찾아간 국민의힘 김은혜…""짐 내려놨다""",오늘 서울 역대 11월 가장 비 많이 온 날…104년 만에 기록 경신(종합),"수도권 일평균 200명 넘으면 2단계 격상 검토…""회식-모임 자제""","박능후 ""확진자 300명대…대규모 재확산 기로의 위태로운 상황""",순천시 사회적 거리두기 2단계 격상…단계 세분화 이후 처음(종합),"신규확진 343명 이틀째 300명대…지역 293명, 대규모 유행 기로(종합)",'두문불출' 트럼프 APEC엔 참석…시진핑과 마지막 정면충돌?,오늘 전세대책 발표…공공임대 10만호 쏟아부어 전세난 잡는다,"금태섭, '두 아들 재산 32억' 주장에 ""돌아가신 장인이 증여""",오늘부터 서울-경기-광주 거리두기 1.5단계…다중시설 인원제한,"인니 30대, 마당에 날아든 45억살 운석 팔아 '돈방석'","국민 46.1% ""코로나19 감염은 어느 정도 운이다"""
20201120,연이은 300명대 확진 '위태위태'…대유행 우려속 순천 2단계로,임용고시 앞두고 노량진 고시학원 최소 26명 확진(종합),오늘 오후 6시까지 이미 약 300명 확진…내일 400명 안팎 나오나,"감염학회 ""거리두기 상향없이 1∼2주지나면 확진자 1천명 육박""","조폭 모친 축하연에 현역 의원들 화환이…당사자들 ""명의 도용""","진선미 ""아파트 환상 버려야…임대로 주거 질 실현 확신""(종합)","바이오엔테크 CEO ""코로나19 백신 12월 공급 가능성"" 재언급",[이슈 컷] 냉동고 가격만 2천200만원…가난한 나라는 백신도 못 맞나,"'운석 로또' 인니인 ""20억 가치?…1천600만원에 팔아 실망""",'딸 KT 부정채용' 김성태 2심서 집행유예…무죄 뒤집혀(종합),집값상승에 전세난까지 겹치자…10대·20대 아파트 매수 늘었다,내일 아침 영하권 내려가며 더 춥다…일요일 오전엔 전국 비,"정부, '3차 유행' 공식화…수도권 일평균 200명 되면 2단계 검토(종합)",집값상승에 전세난까지 겹치자…10대·20대 아파트 매수 늘었다(종합),주호영 경고에도 野 부산파 집단행동…가덕도 자중지란(종합),"트럼프 불복소송, 같은날 경합주 3연패…아득해진 뒤집기 신기루",모친 30년지기 사주받고 친모 때려 숨지게 한 세 자매 기소(종합),"바이든, 트럼프 겨냥 ""완전히 무책임…세계에 해로운 메시지""(종합)","野, '아파트 환상' 진선미 비난…""본인은 왜 아파트 사나""","바이든 ""트럼프의 동기 모르지만 완전히 무책임하다 생각"""
20201121,마스크 효과 없다더니…'부전자전' 트럼프 장남도 코로나19 감염(종합),재검표까지 한 조지아주서 바이든 승리 인증…트럼프에 찬물,"'확진자 급증' 경남 하동군, 전남 순천 이어 두 번째 2단계 격상(종합)","""어떻게 AAA가 무너지나""…자본시장 '민낯' 드러낸 중국",식물인간 남친과 결혼한 호주 여성의 '슬픈' 순애보,노량진발 대확산·일상감염 만연…서울 코로나 역대 최악,휘발유 끼얹고 불붙여 부부 잔혹 살해…비극으로 끝난 동업,"당국 ""내주 400명, 내달초 600명 예상…수도권-강원 2단계 검토""(종합)","공화당의 배신? 반란?…트럼프, 주요 경합주 뒤집기 패배 '쓴맛'","WP ""미 메릴랜드주, 한국산 코로나 진단키트 결함 발견돼 교환""","한국산 진단키트 결함 있어 교체?…""FDA 기준 맞춘 업그레이드""(종합)",심재철 격려금 지급 논란에 3년 전 '돈봉투 만찬' 재조명,호주 피자집 직원의 거짓말이 낳은 나비효과…170만명 봉쇄소동,"아이폰12 분해하니 한국 부품이 27％, 미국·일본 제쳤다","""이발병이 깎으니 두발불량""…해병부대 '사비 이발' 논란","[OK!제보] '성차별 숙직 시정 촉구' 男공무원 ""진정한 양성평등 실현돼야""","野, 대구-부산 갈등 쳇바퀴…""與 미끼 덥석 물었다"" 우려",밤사이 사라진 인니 명소 '아치 절벽'…파도·지진 때문에,'코로나 비상' 신촌 대학가 썰렁…홍대 거리는 북적,'3차 유행' 현실화…연일 300명대 신규 확진에 불안한 1.5단계
20201122,호주 피자집 직원의 거짓말이 낳은 나비효과…170만명 봉쇄소동,"정총리 ""거리두기, 수도권 2단계·호남 1.5단계로 상향  논의""(종합)",수도권 거리두기 24일 0시부터 2단계로 격상…호남권은 1.5단계(종합),마스크 효과 없다더니…'부전자전' 트럼프 장남도 코로나19 감염(종합),2천년전 '화산폭발' 폼페이서 두 남성의 유해 발견,골프장에 소 떼가 牛르르∼ 골프 치던 시민들 '화들짝',고액 신용대출 당장 다음 주부터 막힌다…'소득 무관' 규제까지,오늘 오후 6시까지 222명 신규확진…내일 300명 안팎 나올듯,미대선 경합주 내주 줄줄이 개표인증…'불복' 트럼프 분기점맞나,수도권 거리두기 24일 0시부터 2단계로 격상…호남권은 1.5단계,'내달초 600명' 대규모 확산 시작…오늘 수도권-강원 2단계 논의,비트코인 2만불 도전하나…금융권 가상화폐 긍정평가 확대,"김포, 매물 쌓이고 아파트값 조정",수험생 수능 전날 코로나 진단검사 받으면 당일 결과 통보,"트럼프, G20 화상회의 도중 대선불복 트윗…장관 대참후 골프장(종합)","공공기관은 내일부터 2단계…재택 확대·회식 취소, 위반시 문책",부천 주민 11명 코로나19 확진…5명은 가족 확진자 접촉,"사유리 '비혼 출산' 호응하는 여성들…""결혼 불평등 싫어""",매물 쌓이는 김포·부산·대구 조정지역…매수문의·가격 '뚝',"친문, 민주주의4.0 닻올리고 세과시…""폭우와도 한배 타자""(종합)"
20201123,"""배 아프다"" 러 12세 소녀 병원 갔더니…뱃속에 머리카락 뭉치",오늘 300명 안팎 나올듯…내일부터 수도권 거리두기 2단계 격상,서울시 '1천만 시민 멈춤기간' 선포…대중교통 운행 감축(종합),"[이슈 컷] ""공무원처럼 3년 육아휴직 쓰게 해주세요""",2천년전 '화산폭발' 폼페이서 두 남성의 유해 발견,노량진발 확진자 1명 교원 임용시험 응시…형평성 논란 불가피,서울 대기업 건물서 직원이 아내 살해 후 극단 선택(종합),서울 대기업 건물서 직원이 아내 살해 후 극단 선택,수도권 거리두기 24일 0시부터 2단계로 격상…호남권은 1.5단계(종합),"[속보] 서울시 ""연말까지 '천만 시민 긴급 멈춤기간' 선포""",'동학개미' 코스피 새역사 썼다…저점이후 37조 쏟아,오늘 오후 6시까지 252명 신규확진…내일 다시 300명 넘나,"""바이든 당선인, 첫 국무장관에 블링컨 내정…24일 발표""(종합)",철원 군부대 30여명 확진 비상…'2단계 지역' 휴가제한 가능(종합),내년 1월부터 30∼299인 기업도 '빨간 날'은 유급휴일,중국·호주 갈등 점입가경…이번엔 '음식 문화 비방' 논란,"미 백신 책임자 ""내년 5월쯤 집단면역 기대…12월11일 첫 접종""",삼성중공업 막판 '잭팟' 터졌다…2조8천억원 수주 성공,"신규확진 271명, 휴일 영향 엿새만에 300명 아래…지역 255명(종합)",서울시 '1천만 시민 멈춤기간' 선포…집회금지·대중교통 감축
20201124,"미국서 김치 알린 한인 청년 살해범, 잡고 보니 아파트 이웃",'종부세 폭탄'에 매물 나오고 강남 아파트값 떨어질까,대구 새마을금고서 전 임원이 흉기 휘둘러…1명 숨지고 1명 중상(종합),대구 새마을금고서 전 임원이 흉기 휘둘러…직원 2명 숨져(종합2보),"공공임대 둘러본 진선미 ""어른과 어울려 사는 재미 느낄 것""","트럼프, 바이든 정권인수 절차 협력 지시…대선 승복은 아직(종합)","""배 아프다"" 러 12세 소녀 병원 갔더니…뱃속에 머리카락 뭉치","정부 ""어제 300명 넘는 확진자 발생…더 어렵고 힘든 겨울 예고""(종합)","신규확진 349명 하루만에 다시 300명대,지역 320명…대유행 우려(종합)",팔로워 1억명 미국 16살 틱톡 스타 작년 44억원 벌었다,수도권 거리두기 2단계 격상에 불붙는 3차 재난지원금 논의,'27명 감염' 인천 유흥업소발 집단감염에 상인들 불안감 확산,"秋 헌정사상 초유 검찰총장 직무배제 명령…尹 ""법적 대응""(종합2보)","""러시아 개발 백신 95％ 효과…가격은 20달러 미만""","추미애, 윤석열 징계청구·직무배제 명령…헌정사상 초유(종합)",전동킥보드로 보행자 치면 5년 이하 징역·2천만원 이하 벌금,아스트라제네카 '백신 효능 90%' 발견은 연구진 실수 덕,"추미애, 윤석열 징계청구·직무배제 명령…헌정사상 초유",오늘 오후 6시까지 283명 신규확진…내일 300명대 중후반 예상,94세 노인 들어올려 안면인식하다니…중국서 비난 봇물
20201125,[이래도 되나요] '전자발찌 뗀지 얼마나 됐다고' 성범죄 연예인의 소통이라니,오늘 오후 6시까지 336명 신규확진…내일 최소 400명대 중후반(종합),16억 집 종부세?…'영끌' 30대 271만원 vs 15년보유 70대 81만원,"진중권 ""문 대통령 전생에 나라 세번 구한 것 같다"" 에둘러 비판","한국, 코로나 시대 살기 좋은 나라 4위…1위 뉴질랜드",환자 아내와 바람피우며 부부관계 조언한 '뻔뻔한' 미국 의사,강서구 에어로빅학원 대규모 집단감염…최소 48명 확진(종합),"진주시,코로나 구멍…공무원 인솔 제주연수 이통장 등 33명 확진(종합)","이낙연 ""윤석열 혐의 충격적…국회 국정조사 검토""(종합)","""술 왜 안줘"" 홧김에 모텔 방화…2명 사망·9명 부상(종합)",내년 초 국내 최초 코로나19 백신 시판허가 나오나,신천지 '평화의궁전'은 이만희 신혼집인가 연수원인가…법정공방,'손안에 쏙' 작고 가벼워진 아이폰12 미니 써보니,"신규확진 382명 이틀연속 300명대…지역 363명, 8월말 이후 최다(종합)","바이든, 2개 경합주서 또 승리 인증…트럼프 소송전 역부족(종합)",'부산도 위태롭다' 25명 신규 확진…이틀 연속 두 자릿수,배다해 스토킹 20대 구속…아이디 24개 이용해 악플 수백개 게시(종합),"""러시아 개발 백신 효과 95％ 이상…가격은 20달러 이하""(종합)","""식당은 손님받는데 카페·제과점은 왜?""…형평성 논란","[3보] BTS, 그래미 아성 뚫었다…'베스트 팝 그룹 퍼포먼스' 후보"
