날짜,시가,고가,저가,거래량,종가
2015-09-01,1934.44,1939.67,1914.22,324479175,1914.23
2015-09-02,1886.14,1920.62,1883.5,342022073,1915.22
2015-09-03,1929.78,1931.19,1911.17,297283001,1915.53
2015-09-04,1921.81,1923.06,1879.94,361089908,1886.04
2015-09-07,1883.36,1895.99,1870.59,288156910,1883.22
2015-09-08,1889.14,1894.56,1868.48,391891121,1878.68
2015-09-09,1903.28,1934.2,1902.93,516171300,1934.2
2015-09-10,1918.42,1962.11,1915.44,460344735,1962.11
2015-09-11,1942.88,1951.26,1939.73,503010437,1941.37
2015-09-14,1947.65,1948.02,1921.45,362914688,1931.46
2015-09-15,1930.44,1938.9,1927.62,390824275,1937.56
2015-09-16,1949.49,1978.68,1949.15,584757709,1975.45
2015-09-17,1989.07,1989.07,1972.93,510173389,1976.49
2015-09-18,1978.39,1996.47,1964.12,523798281,1995.95
2015-09-21,1973.24,1980.8,1960.11,376423194,1964.68
2015-09-22,1973.54,1983.99,1966.05,696371718,1982.06
2015-09-23,1960.33,1968.16,1944.51,856989393,1944.64
2015-09-24,1956.94,1958.73,1944.31,921264926,1947.1
2015-09-25,1948.3,1951.94,1932.49,796574378,1942.85
2015-09-30,1915.46,1962.84,1915.04,546992431,1962.81
2015-10-01,1963.55,1986.01,1958.63,678977861,1979.32
2015-10-02,1979.41,1985.57,1969.68,1030976530,1969.68
2015-10-05,1981.6,1994.65,1975.55,545633860,1978.25
2015-10-06,1996.29,1998.02,1985.17,661635578,1990.65
2015-10-07,1995.87,2006.24,1994.55,761719786,2005.84
2015-10-08,2016.36,2020.19,1998.66,700992876,2019.53
2015-10-12,2022.33,2030.92,2015.43,635085232,2021.63
2015-10-13,2021.2,2024.5,2010.16,604995750,2019.05
2015-10-14,2014.47,2016.14,2002.63,644802674,2009.55
2015-10-15,2008.29,2035.8,2007.46,498901048,2033.27
2015-10-16,2037.98,2038.06,2025.19,550798453,2030.26
2015-10-19,2032.36,2036.3,2022.25,726843318,2030.27
2015-10-20,2031.5,2040.24,2026.67,958059647,2039.36
2015-10-21,2039.25,2053.95,2035.59,668945026,2042.98
2015-10-22,2040.43,2042.57,2019.53,695813816,2023.0
2015-10-23,2043.67,2054.82,2036.92,648998708,2040.4
2015-10-26,2049.41,2049.6,2039.97,459949575,2048.08
2015-10-27,2043.52,2045.81,2036.22,449155494,2044.65
2015-10-28,2045.67,2045.67,2032.39,402200914,2042.51
2015-10-29,2050.97,2064.72,2032.56,481349243,2034.16
2015-10-30,2034.78,2038.56,2027.8,380671266,2029.47
2015-11-02,2033.15,2036.05,2028.2,366381617,2035.24
2015-11-03,2042.6,2053.24,2040.75,591736827,2048.4
2015-11-04,2053.51,2056.12,2042.38,545085667,2052.77
2015-11-05,2049.3,2050.44,2039.93,349079062,2049.41
2015-11-06,2048.17,2055.14,2038.46,465030345,2041.07
2015-11-09,2038.59,2038.59,2022.52,435389315,2025.7
2015-11-10,2015.45,2015.45,1988.54,417457999,1996.59
2015-11-11,1993.81,2001.73,1983.14,286567438,1997.27
2015-11-12,1997.32,1998.66,1991.28,389444874,1993.36
2015-11-13,1975.97,1981.27,1969.71,342313279,1973.29
2015-11-16,1945.68,1956.09,1942.85,433426963,1943.02
2015-11-17,1967.36,1974.08,1959.22,417559031,1963.58
2015-11-18,1967.25,1973.16,1961.43,541860392,1962.88
2015-11-19,1976.94,1988.92,1972.85,422517109,1988.91
2015-11-20,1988.96,1993.97,1985.93,413655534,1989.86
2015-11-23,1995.92,2008.34,1992.86,383231287,2003.7
2015-11-24,2004.29,2019.95,2003.06,417004991,2016.29
2015-11-25,2018.24,2018.93,2007.91,391646844,2009.42
2015-11-26,2014.88,2033.18,2014.88,454457028,2030.68
2015-11-27,2038.71,2038.72,2026.4,481950731,2028.99
2015-11-30,2022.38,2022.38,1987.12,452865672,1991.97
2015-12-01,2001.51,2026.33,2001.51,573342047,2023.93
2015-12-02,2026.08,2026.19,2009.29,631315438,2009.29
2015-12-03,2000.2,2000.2,1981.59,365870193,1994.07
2015-12-04,1972.16,1983.02,1970.48,379466160,1974.4
2015-12-07,1987.62,1988.04,1963.66,382132568,1963.67
2015-12-08,1964.22,1971.07,1948.43,406175712,1949.04
2015-12-09,1951.39,1956.7,1944.78,378094860,1948.24
2015-12-10,1947.21,1956.84,1940.4,377848904,1952.07
2015-12-11,1952.82,1961.0,1943.67,380713338,1948.62
2015-12-14,1926.36,1930.4,1919.22,439741137,1927.82
2015-12-15,1935.82,1938.04,1925.75,434738143,1932.97
2015-12-16,1950.15,1975.63,1950.05,475097799,1969.4
2015-12-17,1984.06,1987.83,1967.64,379574441,1977.96
2015-12-18,1960.32,1981.42,1958.12,677729276,1975.32
2015-12-21,1974.26,1986.66,1968.14,539596342,1981.19
2015-12-22,1984.37,1992.72,1971.32,577235960,1992.56
2015-12-23,1994.2,2007.42,1989.3,502366908,1999.22
2015-12-24,2009.34,2009.99,1990.65,504620251,1990.65
2015-12-28,1990.59,1991.19,1964.06,396643345,1964.06
2015-12-29,1956.49,1968.57,1946.21,401427811,1966.31
2015-12-30,1973.03,1974.67,1958.78,304462557,1961.31
2016-01-04,1954.47,1954.52,1918.76,359018283,1918.76
2016-01-05,1911.93,1937.57,1911.93,446548849,1930.53
2016-01-06,1934.25,1934.25,1911.61,594612859,1925.43
2016-01-07,1915.71,1926.41,1901.24,393042046,1904.33
2016-01-08,1889.42,1918.25,1883.82,430204496,1917.62
2016-01-11,1897.18,1907.43,1892.69,328768349,1894.84
